"","1993-11-04","","","1993-11-04","","","","","","",""
"result.157",-0.00649942857831398,0.0288389508276694,0,3.53383794059795e-06,0.0148809751169579,0,2.13804036952695e-06,0.0225838569990881,0,2.90832855773989e-06,157
"result.158",-0.00913090521148519,0.0290262023477581,0,3.81571075592391e-06,0.0148809751169579,0,2.40118803284404e-06,0.022631823519944,0,3.17627287314257e-06,158
"result.159",0.00386984553682623,0.0290054904475383,0,2.51356449107093e-06,0.0148809751169579,0,1.10111295801305e-06,0.0228921643181957,0,1.90223187813673e-06,159
"result.160",-0.00766573896578748,0.0293919689915114,0,3.70577079572948e-06,0.0148809751169579,0,2.25467140827429e-06,0.0227424014515293,0,3.04081404173134e-06,160
"result.161",-0.0153068597180939,0.0292306277589702,0,4.45374874770592e-06,0.0148809751169579,0,3.01878348350484e-06,0.0229034370080632,0,3.82102967261529e-06,161
"result.162",0.0101336883439043,0.0295609922805156,0,1.94273039366092e-06,0.0148809751169579,0,4.74728677305311e-07,0.0243431735072373,0,1.42094851633315e-06,162
"result.163",-0.00277595600826874,0.0311881683727435,0,3.39641243810085e-06,0.0148809751169579,0,1.76569311252247e-06,0.0247483559144699,0,2.75243119227356e-06,163
"result.164",0.00349110342053294,0.0315811572961806,0,2.80900538756446e-06,0.0148809751169579,0,1.13898716964237e-06,0.0244555339999678,0,2.09644305794326e-06,164
"result.165",-0.00753454853257551,0.0312709951837817,0,3.8805543716353e-06,0.0148809751169579,0,2.24155236495309e-06,0.0242370075932361,0,3.17715561258081e-06,165
"result.166",0.00433484793439742,0.0310345460614698,0,2.66996981270695e-06,0.0148809751169579,0,1.05461271825593e-06,0.0243295275297756,0,1.9994679595376e-06,166
"result.167",0.000380884414044935,0.0310735993185105,0,3.06927149044622e-06,0.0148809751169579,0,1.45000907029114e-06,0.0241164786471616,0,2.3735594233114e-06,167
